CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;14/02/2018;19;0,540;R
ES0021000001720511XQ;14/02/2018;20;0,475;R
ES0021000001720511XQ;14/02/2018;21;1,273;R
ES0021000001720511XQ;14/02/2018;22;2,954;R
ES0021000001720511XQ;14/02/2018;23;0,950;R
ES0021000001720511XQ;14/02/2018;24;1,669;R
ES0021000001720511XQ;15/02/2018;1;2,681;R
ES0021000001720511XQ;15/02/2018;2;0,499;R
ES0021000001720511XQ;15/02/2018;3;0,249;R
ES0021000001720511XQ;15/02/2018;4;0,250;R
ES0021000001720511XQ;15/02/2018;5;0,298;R
ES0021000001720511XQ;15/02/2018;6;0,264;R
ES0021000001720511XQ;15/02/2018;7;0,860;R
ES0021000001720511XQ;15/02/2018;8;0,374;R
ES0021000001720511XQ;15/02/2018;9;1,419;R
ES0021000001720511XQ;15/02/2018;10;1,124;R
ES0021000001720511XQ;15/02/2018;11;0,236;R
ES0021000001720511XQ;15/02/2018;12;0,257;R
ES0021000001720511XQ;15/02/2018;13;3,394;R
ES0021000001720511XQ;15/02/2018;14;2,715;R
ES0021000001720511XQ;15/02/2018;15;2,304;R
ES0021000001720511XQ;15/02/2018;16;1,254;R
ES0021000001720511XQ;15/02/2018;17;1,564;R
ES0021000001720511XQ;15/02/2018;18;0,346;R
ES0021000001720511XQ;15/02/2018;19;0,372;R
ES0021000001720511XQ;15/02/2018;20;0,552;R
ES0021000001720511XQ;15/02/2018;21;1,144;R
ES0021000001720511XQ;15/02/2018;22;1,610;R
ES0021000001720511XQ;15/02/2018;23;2,400;R
ES0021000001720511XQ;15/02/2018;24;2,220;R
ES0021000001720511XQ;16/02/2018;1;0,633;E
ES0021000001720511XQ;16/02/2018;2;0,506;E
ES0021000001720511XQ;16/02/2018;3;0,442;E
ES0021000001720511XQ;16/02/2018;4;0,415;E
ES0021000001720511XQ;16/02/2018;5;0,409;E
ES0021000001720511XQ;16/02/2018;6;0,424;E
ES0021000001720511XQ;16/02/2018;7;0,506;E
ES0021000001720511XQ;16/02/2018;8;0,703;E
ES0021000001720511XQ;16/02/2018;9;0,858;E
ES0021000001720511XQ;16/02/2018;10;0,944;E
ES0021000001720511XQ;16/02/2018;11;1,010;E
ES0021000001720511XQ;16/02/2018;12;1,015;E
ES0021000001720511XQ;16/02/2018;13;1,021;E
ES0021000001720511XQ;16/02/2018;14;1,037;E
ES0021000001720511XQ;16/02/2018;15;0,998;E
ES0021000001720511XQ;16/02/2018;16;0,954;E
ES0021000001720511XQ;16/02/2018;17;0,944;E
ES0021000001720511XQ;16/02/2018;18;0,975;E
ES0021000001720511XQ;16/02/2018;19;1,041;E
ES0021000001720511XQ;16/02/2018;20;1,140;E
ES0021000001720511XQ;16/02/2018;21;1,166;E
ES0021000001720511XQ;16/02/2018;22;1,147;E
ES0021000001720511XQ;16/02/2018;23;1,026;E
ES0021000001720511XQ;16/02/2018;24;0,860;E
ES0021000001720511XQ;17/02/2018;1;0,558;R
ES0021000001720511XQ;17/02/2018;2;0,251;R
ES0021000001720511XQ;17/02/2018;3;0,203;R
ES0021000001720511XQ;17/02/2018;4;0,166;R
ES0021000001720511XQ;17/02/2018;5;0,139;R
ES0021000001720511XQ;17/02/2018;6;0,112;R
ES0021000001720511XQ;17/02/2018;7;0,105;R
ES0021000001720511XQ;17/02/2018;8;0,168;R
ES0021000001720511XQ;17/02/2018;9;1,279;R
ES0021000001720511XQ;17/02/2018;10;1,348;R
ES0021000001720511XQ;17/02/2018;11;0,240;R
ES0021000001720511XQ;17/02/2018;12;0,264;R
ES0021000001720511XQ;17/02/2018;13;0,287;R
ES0021000001720511XQ;17/02/2018;14;0,229;R
ES0021000001720511XQ;17/02/2018;15;0,236;R
ES0021000001720511XQ;17/02/2018;16;0,269;R
ES0021000001720511XQ;17/02/2018;17;0,283;R
ES0021000001720511XQ;17/02/2018;18;0,232;R
ES0021000001720511XQ;17/02/2018;19;0,402;R
ES0021000001720511XQ;17/02/2018;20;0,287;R
ES0021000001720511XQ;17/02/2018;21;0,263;R
ES0021000001720511XQ;17/02/2018;22;0,233;R
ES0021000001720511XQ;17/02/2018;23;0,549;R
ES0021000001720511XQ;17/02/2018;24;2,831;R
ES0021000001720511XQ;18/02/2018;1;1,389;R
ES0021000001720511XQ;18/02/2018;2;0,444;R
ES0021000001720511XQ;18/02/2018;3;0,263;R
ES0021000001720511XQ;18/02/2018;4;0,302;R
ES0021000001720511XQ;18/02/2018;5;0,253;R
ES0021000001720511XQ;18/02/2018;6;0,242;R
ES0021000001720511XQ;18/02/2018;7;0,265;R
ES0021000001720511XQ;18/02/2018;8;0,500;R
ES0021000001720511XQ;18/02/2018;9;0,238;R
ES0021000001720511XQ;18/02/2018;10;1,044;R
ES0021000001720511XQ;18/02/2018;11;2,079;R
ES0021000001720511XQ;18/02/2018;12;1,565;R
ES0021000001720511XQ;18/02/2018;13;2,825;R
ES0021000001720511XQ;18/02/2018;14;2,615;R
ES0021000001720511XQ;18/02/2018;15;1,854;R
ES0021000001720511XQ;18/02/2018;16;1,709;R
ES0021000001720511XQ;18/02/2018;17;0,761;R
ES0021000001720511XQ;18/02/2018;18;0,670;R
ES0021000001720511XQ;18/02/2018;19;0,547;R
ES0021000001720511XQ;18/02/2018;20;1,019;R
ES0021000001720511XQ;18/02/2018;21;1,035;R
ES0021000001720511XQ;18/02/2018;22;1,143;R
ES0021000001720511XQ;18/02/2018;23;1,458;R
ES0021000001720511XQ;18/02/2018;24;0,826;R
ES0021000001720511XQ;19/02/2018;1;2,078;R
ES0021000001720511XQ;19/02/2018;2;1,425;R
ES0021000001720511XQ;19/02/2018;3;0,371;R
ES0021000001720511XQ;19/02/2018;4;0,392;R
ES0021000001720511XQ;19/02/2018;5;0,416;R
ES0021000001720511XQ;19/02/2018;6;0,390;R
ES0021000001720511XQ;19/02/2018;7;1,728;R
ES0021000001720511XQ;19/02/2018;8;1,085;R
ES0021000001720511XQ;19/02/2018;9;0,612;R
ES0021000001720511XQ;19/02/2018;10;0,876;R
ES0021000001720511XQ;19/02/2018;11;0,465;R
ES0021000001720511XQ;19/02/2018;12;0,410;R
ES0021000001720511XQ;19/02/2018;13;0,415;R
ES0021000001720511XQ;19/02/2018;14;0,452;R
ES0021000001720511XQ;19/02/2018;15;0,469;R
ES0021000001720511XQ;19/02/2018;16;1,004;R
ES0021000001720511XQ;19/02/2018;17;1,771;R
ES0021000001720511XQ;19/02/2018;18;1,069;R
ES0021000001720511XQ;19/02/2018;19;1,291;R
ES0021000001720511XQ;19/02/2018;20;0,478;R
ES0021000001720511XQ;19/02/2018;21;0,496;R
ES0021000001720511XQ;19/02/2018;22;0,541;R
ES0021000001720511XQ;19/02/2018;23;1,519;R
ES0021000001720511XQ;19/02/2018;24;2,177;R
ES0021000001720511XQ;20/02/2018;1;0,616;E
ES0021000001720511XQ;20/02/2018;2;0,486;E
ES0021000001720511XQ;20/02/2018;3;0,430;E
ES0021000001720511XQ;20/02/2018;4;0,406;E
ES0021000001720511XQ;20/02/2018;5;0,401;E
ES0021000001720511XQ;20/02/2018;6;0,417;E
ES0021000001720511XQ;20/02/2018;7;0,499;E
ES0021000001720511XQ;20/02/2018;8;0,700;E
ES0021000001720511XQ;20/02/2018;9;0,847;E
ES0021000001720511XQ;20/02/2018;10;0,925;E
ES0021000001720511XQ;20/02/2018;11;0,995;E
ES0021000001720511XQ;20/02/2018;12;1,000;E
ES0021000001720511XQ;20/02/2018;13;1,009;E
ES0021000001720511XQ;20/02/2018;14;1,026;E
ES0021000001720511XQ;20/02/2018;15;0,980;E
ES0021000001720511XQ;20/02/2018;16;0,931;E
ES0021000001720511XQ;20/02/2018;17;0,927;E
ES0021000001720511XQ;20/02/2018;18;0,970;E
ES0021000001720511XQ;20/02/2018;19;1,049;E
ES0021000001720511XQ;20/02/2018;20;1,175;E
ES0021000001720511XQ;20/02/2018;21;1,228;E
ES0021000001720511XQ;20/02/2018;22;1,192;E
ES0021000001720511XQ;20/02/2018;23;1,033;E
ES0021000001720511XQ;20/02/2018;24;0,824;E
ES0021000001720511XQ;21/02/2018;1;1,029;R
ES0021000001720511XQ;21/02/2018;2;0,173;R
ES0021000001720511XQ;21/02/2018;3;0,113;R
ES0021000001720511XQ;21/02/2018;4;0,109;R
ES0021000001720511XQ;21/02/2018;5;0,108;R
ES0021000001720511XQ;21/02/2018;6;0,164;R
ES0021000001720511XQ;21/02/2018;7;1,832;R
