CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;16/03/2018;7;1,443;R
ES0021000001720511XQ;16/03/2018;8;1,645;R
ES0021000001720511XQ;16/03/2018;9;0,365;R
ES0021000001720511XQ;16/03/2018;10;0,355;R
ES0021000001720511XQ;16/03/2018;11;0,405;R
ES0021000001720511XQ;16/03/2018;12;1,004;R
ES0021000001720511XQ;16/03/2018;13;0,456;R
ES0021000001720511XQ;16/03/2018;14;0,413;R
ES0021000001720511XQ;16/03/2018;15;0,618;R
ES0021000001720511XQ;16/03/2018;16;1,476;R
ES0021000001720511XQ;16/03/2018;17;0,491;R
ES0021000001720511XQ;16/03/2018;18;0,459;R
ES0021000001720511XQ;16/03/2018;19;1,059;R
ES0021000001720511XQ;16/03/2018;20;0,551;R
ES0021000001720511XQ;16/03/2018;21;0,340;R
ES0021000001720511XQ;16/03/2018;22;1,085;R
ES0021000001720511XQ;16/03/2018;23;2,634;R
ES0021000001720511XQ;16/03/2018;24;0,759;R
ES0021000001720511XQ;17/03/2018;1;0,357;R
ES0021000001720511XQ;17/03/2018;2;0,230;R
ES0021000001720511XQ;17/03/2018;3;0,234;R
ES0021000001720511XQ;17/03/2018;4;0,282;R
ES0021000001720511XQ;17/03/2018;5;0,281;R
ES0021000001720511XQ;17/03/2018;6;0,409;R
ES0021000001720511XQ;17/03/2018;7;0,229;R
ES0021000001720511XQ;17/03/2018;8;0,229;R
ES0021000001720511XQ;17/03/2018;9;0,193;R
ES0021000001720511XQ;17/03/2018;10;0,776;R
ES0021000001720511XQ;17/03/2018;11;2,080;R
ES0021000001720511XQ;17/03/2018;12;2,501;R
ES0021000001720511XQ;17/03/2018;13;2,422;R
ES0021000001720511XQ;17/03/2018;14;4,557;R
ES0021000001720511XQ;17/03/2018;15;5,276;R
ES0021000001720511XQ;17/03/2018;16;3,135;R
ES0021000001720511XQ;17/03/2018;17;3,613;R
ES0021000001720511XQ;17/03/2018;18;3,091;R
ES0021000001720511XQ;17/03/2018;19;2,529;R
ES0021000001720511XQ;17/03/2018;20;2,459;R
ES0021000001720511XQ;17/03/2018;21;2,651;R
ES0021000001720511XQ;17/03/2018;22;2,674;R
ES0021000001720511XQ;17/03/2018;23;3,283;R
ES0021000001720511XQ;17/03/2018;24;2,818;R
ES0021000001720511XQ;18/03/2018;1;1,857;R
ES0021000001720511XQ;18/03/2018;2;1,631;R
ES0021000001720511XQ;18/03/2018;3;0,362;R
ES0021000001720511XQ;18/03/2018;4;0,254;R
ES0021000001720511XQ;18/03/2018;5;0,284;R
ES0021000001720511XQ;18/03/2018;6;0,229;R
ES0021000001720511XQ;18/03/2018;7;0,106;R
ES0021000001720511XQ;18/03/2018;8;0,246;R
ES0021000001720511XQ;18/03/2018;9;0,102;R
ES0021000001720511XQ;18/03/2018;10;1,352;R
ES0021000001720511XQ;18/03/2018;11;1,666;R
ES0021000001720511XQ;18/03/2018;12;1,659;R
ES0021000001720511XQ;18/03/2018;13;3,784;R
ES0021000001720511XQ;18/03/2018;14;3,339;R
ES0021000001720511XQ;18/03/2018;15;3,159;R
ES0021000001720511XQ;18/03/2018;16;1,112;R
ES0021000001720511XQ;18/03/2018;17;2,053;R
ES0021000001720511XQ;18/03/2018;18;1,095;R
ES0021000001720511XQ;18/03/2018;19;1,235;R
ES0021000001720511XQ;18/03/2018;20;1,862;R
ES0021000001720511XQ;18/03/2018;21;2,151;R
ES0021000001720511XQ;18/03/2018;22;2,191;R
ES0021000001720511XQ;18/03/2018;23;0,735;R
ES0021000001720511XQ;18/03/2018;24;1,106;R
ES0021000001720511XQ;19/03/2018;1;2,011;R
ES0021000001720511XQ;19/03/2018;2;0,500;R
ES0021000001720511XQ;19/03/2018;3;0,316;R
ES0021000001720511XQ;19/03/2018;4;0,294;R
ES0021000001720511XQ;19/03/2018;5;0,268;R
ES0021000001720511XQ;19/03/2018;6;0,233;R
ES0021000001720511XQ;19/03/2018;7;1,754;R
ES0021000001720511XQ;19/03/2018;8;0,865;R
ES0021000001720511XQ;19/03/2018;9;0,409;R
ES0021000001720511XQ;19/03/2018;10;0,352;R
ES0021000001720511XQ;19/03/2018;11;0,819;R
ES0021000001720511XQ;19/03/2018;12;0,437;R
ES0021000001720511XQ;19/03/2018;13;0,450;R
ES0021000001720511XQ;19/03/2018;14;0,451;R
ES0021000001720511XQ;19/03/2018;15;0,857;R
ES0021000001720511XQ;19/03/2018;16;0,813;R
ES0021000001720511XQ;19/03/2018;17;0,804;R
ES0021000001720511XQ;19/03/2018;18;1,640;R
ES0021000001720511XQ;19/03/2018;19;1,098;R
ES0021000001720511XQ;19/03/2018;20;0,571;R
ES0021000001720511XQ;19/03/2018;21;0,547;R
