Fecha,Consumo_kWh,Fecha,TPD,EDP,VE
2018-02-23 04:00:00,0.214,2018-02-23 04:00:00,113.33,63.74,60.35
2018-02-23 05:00:00,0.106,2018-02-23 05:00:00,120.16,70.5,67.01
2018-02-23 06:00:00,1.646,2018-02-23 06:00:00,129.9,80.1,84.8
2018-02-23 07:00:00,1.065,2018-02-23 07:00:00,128.76,79.66,83.75
2018-02-23 08:00:00,0.209,2018-02-23 08:00:00,126.13,77.34,81.16
2018-02-23 09:00:00,0.336,2018-02-23 09:00:00,125.23,76.62,80.28
2018-02-23 10:00:00,0.804,2018-02-23 10:00:00,124.59,76.0,79.64
2018-02-23 11:00:00,0.57,2018-02-23 11:00:00,124.72,143.5,79.78
2018-02-23 12:00:00,0.317,2018-02-23 12:00:00,125.38,144.09,144.09
2018-02-23 13:00:00,0.319,2018-02-23 13:00:00,125.46,144.24,144.24
2018-02-23 14:00:00,0.851,2018-02-23 14:00:00,125.7,144.56,144.56
2018-02-23 15:00:00,1.423,2018-02-23 15:00:00,125.8,144.58,144.58
2018-02-23 16:00:00,1.329,2018-02-23 16:00:00,125.33,144.11,144.11
2018-02-23 17:00:00,1.0290000000000001,2018-02-23 17:00:00,126.51,145.3,145.3
2018-02-23 18:00:00,1.237,2018-02-23 18:00:00,130.43,149.25,149.25
2018-02-23 19:00:00,0.64,2018-02-23 19:00:00,131.03,149.92,149.92
2018-02-23 20:00:00,1.8869999999999998,2018-02-23 20:00:00,131.31,150.27,150.27
2018-02-23 21:00:00,2.059,2018-02-23 21:00:00,130.67,80.63,149.68
2018-02-23 22:00:00,1.685,2018-02-23 22:00:00,130.86,80.88,85.8
2018-02-23 23:00:00,1.0290000000000001,2018-02-23 23:00:00,132.07,81.61,86.92
2018-02-24 00:00:00,0.6579999999999999,2018-02-24 00:00:00,131.36,80.86,76.84
2018-02-24 01:00:00,0.5329999999999999,2018-02-24 01:00:00,129.04,78.53,74.58
2018-02-24 02:00:00,0.46,2018-02-24 02:00:00,125.72,75.24,71.41
2018-02-24 03:00:00,0.42100000000000004,2018-02-24 03:00:00,124.01,73.61,69.77
2018-02-24 04:00:00,0.405,2018-02-24 04:00:00,123.47,73.16,69.39
2018-02-24 05:00:00,0.406,2018-02-24 05:00:00,124.77,74.52,70.7
2018-02-24 06:00:00,0.4320000000000001,2018-02-24 06:00:00,127.61,77.3,82.49
2018-02-24 07:00:00,0.4920000000000001,2018-02-24 07:00:00,122.3,72.62,77.19
2018-02-24 08:00:00,0.625,2018-02-24 08:00:00,127.81,78.03,82.71
2018-02-24 09:00:00,0.81,2018-02-24 09:00:00,127.57,78.08,82.51
2018-02-24 10:00:00,0.9470000000000001,2018-02-24 10:00:00,128.06,78.56,82.95
